country,life_expectancy,year,status,adult_mortality,inf_death,alcohol,hepatitisB,measles,bmi,polio,diphtheria,hiv,gdp,total_expenditure,thinness_till19,thinness_till9,school,population
Afghanistan,55.43333333333334,2002,Developing,213.33333333333334,88.0,0.01,63.0,5926.666666666667,12.6,31.666666666666668,31.0,0.10000000000000002,139.9676433333333,7.919999999999999,8.1,2.3666666666666667,5.866666666666667,8413380.666666666
Afghanistan,55.43333333333334,2001,Developing,213.33333333333334,88.0,0.01,63.0,5926.666666666667,12.6,31.666666666666668,31.0,0.10000000000000002,139.9676433333333,7.919999999999999,8.1,2.3666666666666667,5.866666666666667,8413380.666666666
Afghanistan,55.43333333333334,2000,Developing,213.33333333333334,88.0,0.01,63.0,5926.666666666667,12.6,31.666666666666668,31.0,0.10000000000000002,139.9676433333333,7.919999999999999,8.1,2.3666666666666667,5.866666666666667,8413380.666666666
Albania,73.16666666666666,2002,Developing,13.333333333333334,1.0,3.8800000000000003,96.0,232.0,45.96666666666667,97.33333333333333,97.33333333333333,0.10000000000000002,1318.801716,6.186666666666667,2.0666666666666664,2.1333333333333333,10.666666666666666,26203.666666666668
Albania,73.16666666666666,2001,Developing,13.333333333333334,1.0,3.8800000000000003,96.0,232.0,45.96666666666667,97.33333333333333,97.33333333333333,0.10000000000000002,1318.801716,6.186666666666667,2.0666666666666664,2.1333333333333333,10.666666666666666,26203.666666666668
Albania,73.16666666666666,2000,Developing,13.333333333333334,1.0,3.8800000000000003,96.0,232.0,45.96666666666667,97.33333333333333,97.33333333333333,0.10000000000000002,1318.801716,6.186666666666667,2.0666666666666664,2.1333333333333333,10.666666666666666,26203.666666666668
Algeria,71.43333333333334,2002,Developing,145.0,20.333333333333332,0.27999999999999997,,2849.3333333333335,45.26666666666667,87.0,87.0,0.10000000000000002,1754.790893,3.686666666666667,6.3999999999999995,6.3,10.9,12636688.333333334
Algeria,71.43333333333334,2001,Developing,145.0,20.333333333333332,0.27999999999999997,,2849.3333333333335,45.26666666666667,87.0,87.0,0.10000000000000002,1754.790893,3.686666666666667,6.3999999999999995,6.3,10.9,12636688.333333334
Algeria,71.43333333333334,2000,Developing,145.0,20.333333333333332,0.27999999999999997,,2849.3333333333335,45.26666666666667,87.0,87.0,0.10000000000000002,1754.790893,3.686666666666667,6.3999999999999995,6.3,10.9,12636688.333333334
Angola,45.833333333333336,2002,Developing,161.0,96.66666666666667,2.4166666666666665,,7736.666666666667,15.833333333333334,27.0,35.666666666666664,2.1333333333333333,597.5491336333333,3.9333333333333336,1.7,1.7,5.066666666666666,12066946.333333334
Angola,45.833333333333336,2001,Developing,161.0,96.66666666666667,2.4166666666666665,,7736.666666666667,15.833333333333334,27.0,35.666666666666664,2.1333333333333333,597.5491336333333,3.9333333333333336,1.7,1.7,5.066666666666666,12066946.333333334
